# Auditor opinion to-do list — auto-generated
# Generated: 2026-07-09T05:34:52.220Z
# Stale threshold: 330 days
# Total in universe: 520
# Already fresh (skipped): 106
# No BSE code yet (skipped — run bse-codes-backfill workflow): 21
# To-do this week: 393
#
# Format: Company Name, BSECode
BSE, 201890
Nippon Life Ind., 540767
Inventurus Knowl, 513693
Solar Industries, 532725
Tata Motors, 500570
Suzlon Energy, 532667
Inox India, 544046
Polycab India, 542652
Acutaas Chemical, 543349
Lupin, 500257
Astrazeneca Phar, 506820
Trent, 500251
Bajaj Auto, 532977
Schaeffler India, 505790
NMDC, 526371
Gabriel India, 505714
CG Power & Ind, 500093
Chambal Fert., 500085
Thangamayil Jew., 533158
J B Chemicals &, 506943
Alivus Life, 543322
Pfizer, 500680
Radico Khaitan, 532497
Emcure Pharma, 544210
Elgi Equipments, 522074
Sumitomo Chemi., 542920
Data Pattern, 543428
N S D L, 544467
Welspun Corp, 532144
Petronet LNG, 532522
H P C L, 500104
Black Box, 500463
Berger Paints, 509480
Himadri Special, 500184
Mphasis, 526299
Privi Speci., 530117
Coromandel Inter, 506395
Bikaji Foods, 543653
Divi's Lab., 532488
ICICI Lombard, 540716
Bharti Hexacom, 544162
Bosch, 500530
Fine Organic, 541557
Navin Fluo.Intl., 532504
Vinati Organics, 524200
Jyoti CNC Auto., 544081
Vijaya Diagnost., 543350
Alkem Lab, 539523
Siemens, 500550
Grindwell Norton, 506076
Blue Star, 500067
Zydus Lifesci., 532321
AIA Engineering, 532683
SPR Auto Technologies, 204296
Tata Technolog., 544028
Kirl. Brothers, 500241
Supreme Inds., 509930
EIH, 500840
Titan Company, 500114
Sun Pharma.Inds., 524715
Kalyan Jewellers, 543278
Dabur India, 500096
Godawari Power, 532734
Astra Microwave, 532493
Usha Martin, 517146
Metro Brands, 543426
KEI Industries, 517569
Astral, 532830
Varun Beverages, 540180
Uno Minda, 532539
K P R Mill Ltd, 532889
Sai Life, 544306
Indus Towers, 534816
Jindal Stain., 532508
Honasa Consumer, 544014
ZF Commercial, 533023
Godrej Consumer, 532424
Maruti Suzuki, 532500
Crompton Gr. Con, 539876
Supreme Petroch., 500405
I O C L, 530965
CEAT, 500878
V-Guard Industri, 532953
Bharti Airtel, 532454
Allied Blenders, 544203
GE Shipping Co, 500620
Kalpataru Proj., 522287
Endurance Tech., 540153
AWL Agri Busine., 543458
Timken India, 522113
Linde India, 523457
Rainbow Child., 532441
Gallantt Ispat L, 532726
Happy Forgings, 544057
Garware Hi Tech, 500655
TBO Tek, 544174
Choice Intl., 531358
Ratnamani Metals, 520111
Indraprastha Gas, 532514
Apollo Hospitals, 508869
Wipro, 507685
EID Parry, 500125
Laurus Labs, 540222
L T Foods, 532783
M R P L, 500109
Sundram Fasten., 500403
Nuvama Wealth, 543988
Redington, 532805
Sarda Energy, 504614
TVS Motor Co., 532343
General Insuranc, 540755
Ipca Labs., 524494
Oberoi Realty, 533273
Adani Power, 533096
FSN E-Commerce, 543384
Avenue Super., 540376
Natco Pharma, 524816
Global Health, 543654
Paradeep Phosph., 543530
Chalet Hotels, 542399
Indian Hotels Co, 500850
Tube Investments, 540762
TVS Holdings, 532343
Affle 3i, 542752
Honeywell Auto, 517174
Syrma SGS Tech., 543573
Lodha Developers, 543287
Sun TV Network, 532733
Zen Technologies, 533339
Firstsour.Solu., 532809
Vedanta, 500295
Finolex Cables, 500144
Cochin Shipyard, 540678
CCL Products, 519600
Muthoot Finance, 533398
MRF, 500290
Cipla, 500087
Granules India, 532482
M & M, 500520
Aptus Value Hou., 543335
Narayana Hrudaya, 539551
Hatsun Agro, 531531
MTAR Technologie, 543270
Torrent Pharma., 500420
Gland Pharma, 543245
Sona BLW Precis., 543300
J K Cements, 532644
Adani Total Gas, 542066
SBI Life Insuran, 540719
Thermax, 500411
Atul, 500027
Vishal Mega Mart, 544307
JBM Auto, 532605
Angel One, 543235
Five-Star Bus.Fi, 543663
CIE Automotive, 532756
Kirloskar Oil, 533293
Max Healthcare, 543220
P I Industries, 523642
BASF India, 500042
Tata Comm, 500483
SRF, 503806
Jubilant Food., 533155
Larsen & Toubro, 500510
KEC International, 532714
Apollo Micro Sys, 540879
S C I, 523598
O N G C, 500312
ERIS Lifescience, 540596
Adani Ports, 532921
Poly Medicure, 531768
Torrent Power, 532779
Escorts Kubota, 500495
Craftsman Auto, 543276
Belrise Industri, 544405
Arvind Ltd, 500101
Bharat Dynamics, 541143
Apollo Tyres, 500877
Ashok Leyland, 500477
JSW Infrast, 543994
Authum Invest, 539177
Sansera Enginee., 543358
Aegis Logistics, 500003
Mankind Pharma, 543904
Fortis Health., 532843
Amara Raja Ener., 509563
Sagility, 544282
Kaynes Tech, 543664
Hindalco Inds., 500440
Bharat Forge, 500493
Samvardh. Mothe., 517334
Go Digit General, 544179
Dr Reddy's Labs, 500124
Shyam Metalics, 543299
Nava, 513023
Phoenix Mills, 503100
Aurobindo Pharma, 524804
UltraTech Cem., 532538
Minda Corp, 538962
Motil.Oswal.Fin., 532892
Alembic Pharma, 533573
Fractal Analyt., 544700
Tata Steel, 500470
Container Corpn., 531344
Balkrishna Inds, 502355
360 ONE, 522085
